iter	Passed	Remaining
0	67	67061
1	78	39274
2	95	31793
3	108	26910
4	125	25015
5	143	23792
6	160	22767
7	173	21537
8	185	20470
9	195	19377
10	209	18872
11	224	18462
12	234	17772
13	244	17213
14	256	16840
15	273	16790
16	286	16573
17	298	16263
18	309	15975
19	320	15728
20	334	15576
21	345	15338
22	357	15196
23	370	15071
24	379	14800
25	390	14631
26	401	14461
27	413	14364
28	426	14294
29	438	14180
30	449	14039
31	458	13875
32	482	14146
33	493	14010
34	501	13824
35	510	13666
36	521	13580
37	541	13703
38	557	13736
39	569	13669
40	581	13599
41	592	13520
42	603	13420
43	614	13352
44	626	13295
45	635	13171
46	644	13077
47	654	12990
48	666	12931
49	679	12902
50	690	12853
51	701	12793
52	715	12785
53	728	12755
54	740	12730
55	755	12733
56	766	12679
57	778	12639
58	789	12596
59	798	12513
60	813	12517
61	826	12511
62	839	12480
63	848	12403
64	857	12332
65	867	12274
66	876	12209
67	886	12150
68	897	12103
69	906	12041
70	916	11986
71	925	11927
72	937	11899
73	946	11843
74	957	11805
75	966	11749
76	977	11713
77	988	11683
78	998	11641
79	1009	11605
80	1019	11567
81	1029	11527
82	1038	11478
83	1048	11431
84	1056	11377
85	1066	11330
86	1075	11281
87	1083	11231
88	1093	11188
89	1101	11138
90	1112	11108
91	1127	11128
92	1138	11099
93	1153	11118
94	1177	11219
95	1191	11222
96	1207	11242
97	1219	11223
98	1233	11223
99	1252	11271
100	1274	11342
101	1288	11348
102	1301	11336
103	1314	11321
104	1327	11312
105	1336	11273
106	1348	11258
107	1360	11240
108	1372	11217
109	1386	11220
110	1396	11180
111	1405	11142
112	1415	11113
113	1425	11079
114	1444	11119
115	1461	11137
116	1474	11131
117	1484	11099
118	1497	11085
119	1512	11092
120	1522	11057
121	1531	11020
122	1541	10992
123	1550	10955
124	1560	10926
125	1569	10888
126	1579	10859
127	1589	10825
128	1600	10806
129	1610	10780
130	1623	10768
131	1633	10744
132	1645	10725
133	1659	10723
134	1670	10702
135	1680	10678
136	1690	10650
137	1701	10630
138	1713	10611
139	1723	10589
140	1736	10579
141	1747	10558
142	1759	10542
143	1773	10539
144	1784	10521
145	1796	10507
146	1809	10497
147	1822	10491
148	1836	10486
149	1851	10492
150	1871	10524
151	1890	10545
152	1904	10541
153	1924	10574
154	1939	10572
155	1957	10591
156	1973	10598
157	1989	10601
158	2007	10617
159	2022	10615
160	2033	10594
161	2044	10578
162	2056	10558
163	2077	10589
164	2088	10568
165	2099	10548
166	2114	10546
167	2125	10524
168	2135	10502
169	2144	10472
170	2154	10447
171	2165	10422
172	2175	10398
173	2186	10381
174	2198	10363
175	2208	10341
176	2219	10321
177	2229	10294
178	2240	10277
179	2253	10267
180	2271	10279
181	2289	10292
182	2306	10297
183	2319	10287
184	2330	10266
185	2342	10252
186	2352	10228
187	2364	10212
188	2374	10190
189	2385	10170
190	2396	10149
191	2406	10125
192	2422	10127
193	2430	10098
194	2440	10075
195	2449	10049
196	2458	10022
197	2469	10001
198	2499	10062
199	2508	10033
200	2519	10015
201	2530	9994
202	2543	9984
203	2562	10000
204	2582	10014
205	2601	10028
206	2614	10016
207	2628	10007
208	2640	9992
209	2650	9972
210	2664	9962
211	2682	9971
212	2696	9962
213	2711	9958
214	2729	9964
215	2743	9957
216	2755	9943
217	2767	9928
218	2782	9922
219	2796	9915
220	2806	9890
221	2819	9882
222	2836	9883
223	2847	9863
224	2861	9856
225	2872	9836
226	2884	9822
227	2896	9807
228	2909	9796
229	2919	9775
230	2931	9758
231	2946	9753
232	2961	9749
233	2977	9747
234	2989	9730
235	3001	9716
236	3012	9698
237	3023	9680
238	3034	9663
239	3047	9650
240	3058	9633
241	3073	9627
242	3091	9630
243	3103	9614
244	3113	9594
245	3125	9580
246	3135	9560
247	3145	9539
248	3162	9537
249	3179	9537
250	3195	9535
251	3209	9526
252	3225	9523
253	3238	9510
254	3256	9514
255	3272	9509
256	3287	9504
257	3303	9501
258	3317	9490
259	3330	9480
260	3345	9473
261	3357	9458
262	3370	9444
263	3380	9424
264	3390	9404
265	3401	9384
266	3410	9364
267	3421	9345
268	3431	9325
269	3442	9307
270	3454	9293
271	3465	9276
272	3476	9257
273	3486	9238
274	3496	9218
275	3507	9199
276	3518	9183
277	3529	9165
278	3539	9147
279	3550	9129
280	3562	9114
281	3573	9098
282	3585	9083
283	3594	9063
284	3604	9042
285	3616	9027
286	3628	9014
287	3638	8994
288	3648	8975
289	3660	8960
290	3670	8942
291	3681	8925
292	3691	8907
293	3700	8886
294	3714	8876
295	3724	8858
296	3734	8839
297	3744	8820
298	3754	8802
299	3766	8789
300	3778	8774
301	3788	8755
302	3799	8740
303	3809	8722
304	3820	8705
305	3830	8687
306	3843	8675
307	3855	8663
308	3866	8646
309	3878	8632
310	3888	8614
311	3902	8605
312	3915	8594
313	3926	8578
314	3938	8565
315	3952	8554
316	3962	8536
317	3974	8523
318	3985	8507
319	3994	8488
320	4007	8476
321	4017	8458
322	4028	8444
323	4039	8428
324	4051	8414
325	4062	8399
326	4071	8379
327	4084	8367
328	4097	8357
329	4107	8340
330	4123	8334
331	4137	8324
332	4152	8317
333	4162	8299
334	4171	8281
335	4180	8261
336	4188	8241
337	4197	8220
338	4205	8200
339	4213	8178
340	4221	8158
341	4231	8141
342	4241	8123
343	4249	8104
344	4260	8088
345	4268	8068
346	4278	8050
347	4286	8031
348	4295	8011
349	4304	7994
350	4313	7974
351	4321	7956
352	4330	7937
353	4340	7921
354	4351	7906
355	4361	7889
356	4373	7877
357	4385	7864
358	4394	7846
359	4407	7835
360	4417	7819
361	4425	7800
362	4436	7785
363	4445	7768
364	4456	7753
365	4479	7759
366	4491	7746
367	4503	7733
368	4516	7722
369	4527	7708
370	4540	7697
371	4558	7694
372	4571	7684
373	4584	7674
374	4598	7663
375	4612	7654
376	4626	7644
377	4639	7634
378	4655	7628
379	4671	7622
380	4684	7610
381	4696	7597
382	4710	7587
383	4719	7571
384	4734	7562
385	4752	7560
386	4767	7551
387	4782	7544
388	4802	7544
389	4814	7529
390	4824	7514
391	4835	7500
392	4847	7486
393	4857	7471
394	4869	7457
395	4879	7443
396	4890	7428
397	4902	7415
398	4913	7401
399	4929	7393
400	4941	7381
401	4953	7368
402	4969	7361
403	4985	7355
404	5001	7348
405	5012	7333
406	5021	7316
407	5035	7306
408	5048	7294
409	5058	7279
410	5081	7282
411	5093	7269
412	5106	7257
413	5118	7244
414	5137	7241
415	5146	7224
416	5155	7207
417	5171	7200
418	5181	7185
419	5191	7169
420	5200	7152
421	5210	7137
422	5221	7122
423	5239	7118
424	5252	7106
425	5261	7089
426	5270	7072
427	5280	7056
428	5290	7041
429	5299	7024
430	5310	7011
431	5319	6994
432	5329	6978
433	5338	6961
434	5346	6944
435	5355	6928
436	5375	6925
437	5385	6909
438	5395	6895
439	5407	6882
440	5423	6874
441	5438	6865
442	5454	6857
443	5472	6852
444	5486	6842
445	5496	6827
446	5506	6812
447	5517	6797
448	5528	6784
449	5538	6768
450	5549	6754
451	5559	6740
452	5571	6727
453	5582	6713
454	5594	6701
455	5613	6697
456	5625	6683
457	5637	6671
458	5649	6659
459	5661	6645
460	5673	6632
461	5684	6619
462	5696	6606
463	5707	6592
464	5718	6579
465	5729	6565
466	5740	6551
467	5752	6538
468	5765	6527
469	5782	6520
470	5795	6509
471	5810	6499
472	5824	6488
473	5838	6479
474	5851	6466
475	5862	6453
476	5874	6440
477	5887	6429
478	5898	6415
479	5910	6402
480	5931	6399
481	5947	6391
482	5959	6379
483	5969	6364
484	5983	6353
485	5999	6345
486	6011	6332
487	6021	6317
488	6033	6305
489	6046	6293
490	6061	6283
491	6079	6277
492	6098	6271
493	6112	6261
494	6121	6245
495	6134	6233
496	6143	6217
497	6155	6204
498	6165	6190
499	6180	6180
500	6193	6168
501	6202	6153
502	6216	6141
503	6229	6130
504	6242	6119
505	6252	6103
506	6263	6090
507	6277	6079
508	6287	6064
509	6296	6049
510	6309	6038
511	6320	6024
512	6331	6010
513	6347	6001
514	6361	5990
515	6375	5979
516	6390	5969
517	6398	5954
518	6409	5939
519	6426	5932
520	6441	5921
521	6455	5911
522	6464	5895
523	6476	5883
524	6488	5870
525	6501	5858
526	6519	5851
527	6533	5840
528	6543	5825
529	6556	5814
530	6570	5803
531	6584	5792
532	6605	5787
533	6619	5776
534	6631	5764
535	6643	5750
536	6654	5737
537	6667	5725
538	6678	5712
539	6688	5697
540	6712	5694
541	6732	5688
542	6747	5678
543	6770	5675
544	6788	5667
545	6799	5653
546	6824	5651
547	6835	5638
548	6844	5622
549	6853	5607
550	6862	5592
551	6872	5578
552	6881	5562
553	6894	5550
554	6908	5538
555	6919	5526
556	6930	5512
557	6941	5498
558	6954	5486
559	6972	5478
560	6985	5466
561	6997	5453
562	7007	5439
563	7019	5426
564	7034	5416
565	7052	5407
566	7071	5399
567	7095	5396
568	7108	5384
569	7120	5371
570	7133	5359
571	7150	5350
572	7162	5337
573	7175	5325
574	7187	5312
575	7200	5300
576	7215	5289
577	7229	5277
578	7248	5270
579	7269	5263
580	7282	5251
581	7295	5239
582	7305	5225
583	7317	5212
584	7327	5198
585	7338	5184
586	7349	5170
587	7362	5159
588	7374	5145
589	7391	5136
590	7403	5123
591	7416	5111
592	7433	5101
593	7448	5091
594	7462	5079
595	7477	5068
596	7489	5055
